"","gene","coefficientValue","q_val","pval","cellType","Effect_Magnitude","Effect_Direction"
"50798","CHRDL2",0.0313578679349979,0.0381539572582376,0.00194999278168657,"Ventricular_Cardiomyocytes",0.0313578679349979,"Positive"
"50799","CCDC144A",-0.0308509156553241,0.0934026845036841,0.00929590559841492,"Ventricular_Cardiomyocytes",0.0308509156553241,"Negative"
"50800","ZFP36",0.0297250890012525,0.0231986352213678,0.000803993105024765,"Ventricular_Cardiomyocytes",0.0297250890012525,"Positive"
"50801","GADD45B",0.0295759319374817,0.023193174933092,0.0007887194480094,"Ventricular_Cardiomyocytes",0.0295759319374817,"Positive"
"50803","MYO3A",0.0295019906076341,0.000879770172480355,1.47604152210568e-06,"Ventricular_Cardiomyocytes",0.0295019906076341,"Positive"
"50804","PRUNE2",0.0289756205058681,0.00221944949642408,1.40099011304798e-05,"Ventricular_Cardiomyocytes",0.0289756205058681,"Positive"
"50805","B3GALT5",0.028623580129893,0.0143810631604571,0.000375680855811314,"Ventricular_Cardiomyocytes",0.028623580129893,"Positive"
"50806","DNAH8",0.0279078667519461,5.85373773263105e-06,5.80613486816663e-10,"Ventricular_Cardiomyocytes",0.0279078667519461,"Positive"
"50807","KLHL1",0.0278839400756052,0.0154516578751473,0.000433527535564194,"Ventricular_Cardiomyocytes",0.0278839400756052,"Positive"
"50808","LRATD1",0.0277361902276212,0.00230936373755899,1.5283145598614e-05,"Ventricular_Cardiomyocytes",0.0277361902276212,"Positive"
"50809","CELF5",0.0270722754472538,0.00221944949642408,1.36735735531644e-05,"Ventricular_Cardiomyocytes",0.0270722754472538,"Positive"
"50810","CNN1",0.0268824757455898,0.0502046010558153,0.0030988014690481,"Ventricular_Cardiomyocytes",0.0268824757455898,"Positive"
"50811","HS3ST3A1",0.0264539985841975,0.0525057214186173,0.00332515074076791,"Ventricular_Cardiomyocytes",0.0264539985841975,"Positive"
"50812","CCN1",0.026424184837887,0.0232513431184718,0.000809869143799087,"Ventricular_Cardiomyocytes",0.026424184837887,"Positive"
"50813","FAM81B",0.0263342881429295,0.018347239406962,0.000549586412051108,"Ventricular_Cardiomyocytes",0.0263342881429295,"Positive"
"50814","RDH5",0.0262220755139594,0.0157501831371774,0.000447105512253557,"Ventricular_Cardiomyocytes",0.0262220755139594,"Positive"
"50815","CATSPERD",0.0262175358623229,0.000879770172480355,1.46743228824716e-06,"Ventricular_Cardiomyocytes",0.0262175358623229,"Positive"
"50816","PTGER3",-0.0261712178786313,0.0327314418358367,0.00148209245512322,"Ventricular_Cardiomyocytes",0.0261712178786313,"Negative"
"50818","KCP",0.0259942946853569,0.0900655295603436,0.00868186531028391,"Ventricular_Cardiomyocytes",0.0259942946853569,"Positive"
"50819","KCTD8",0.0255789345438049,0.0025178465431965,1.86966913543516e-05,"Ventricular_Cardiomyocytes",0.0255789345438049,"Positive"
"50820","DNER",0.0254009933774859,0.0113058193231974,0.00024218317254498,"Ventricular_Cardiomyocytes",0.0254009933774859,"Positive"
"50821","LGI1",0.0253852891536249,0.00505204297884224,6.02667983763234e-05,"Ventricular_Cardiomyocytes",0.0253852891536249,"Positive"
"50822","JUNB",0.0253439275124295,0.0531604206960015,0.00341626527983709,"Ventricular_Cardiomyocytes",0.0253439275124295,"Positive"
"50823","HS3ST4",0.0253269960922728,7.18132713048861e-06,1.87599977285491e-09,"Ventricular_Cardiomyocytes",0.0253269960922728,"Positive"
"50824","SV2B",0.0248367613461048,0.035336463094524,0.00168459541457541,"Ventricular_Cardiomyocytes",0.0248367613461048,"Positive"
"50825","PDLIM3",0.0245354585449434,0.00168272046775907,7.32636915603912e-06,"Ventricular_Cardiomyocytes",0.0245354585449434,"Positive"
"50826","ZAN",0.0245339290042313,0.00136179921928079,4.38754537734145e-06,"Ventricular_Cardiomyocytes",0.0245339290042313,"Positive"
"50827","PIM1",0.0244283910898764,0.0602977968626749,0.00419440923052803,"Ventricular_Cardiomyocytes",0.0244283910898764,"Positive"
"50828","VWC2L",0.0239247168655827,0.0540815362180767,0.00351784287311941,"Ventricular_Cardiomyocytes",0.0239247168655827,"Positive"
"50830","SERPINB8",0.0235971739528593,0.0419756843447629,0.00230274130417978,"Ventricular_Cardiomyocytes",0.0235971739528593,"Positive"
"50831","MYO3B",0.0235954920245972,0.000879770172480355,1.45874299701162e-06,"Ventricular_Cardiomyocytes",0.0235954920245972,"Positive"
"50832","CDH3",0.0234230960081142,0.00626275213905866,8.45286121172146e-05,"Ventricular_Cardiomyocytes",0.0234230960081142,"Positive"
"50835","CR1L",0.0229226957108109,0.0280967347512692,0.00113766820440092,"Ventricular_Cardiomyocytes",0.0229226957108109,"Positive"
"50836","SULT1C2",0.0229223883403525,0.00266497267411479,2.18136042639142e-05,"Ventricular_Cardiomyocytes",0.0229223883403525,"Positive"
"50837","TMEM217",0.0229142404592915,0.00683765274988016,9.7051323426547e-05,"Ventricular_Cardiomyocytes",0.0229142404592915,"Positive"
"50838","BTG2",0.0228447270067957,0.0701009114623642,0.00552354993697495,"Ventricular_Cardiomyocytes",0.0228447270067957,"Positive"
"50839","LMNTD1",0.0228218779143021,0.00102585984377378,2.41189618442112e-06,"Ventricular_Cardiomyocytes",0.0228218779143021,"Positive"
"50840","RELN",0.0227973172139075,0.0858551360580147,0.00789116826652861,"Ventricular_Cardiomyocytes",0.0227973172139075,"Positive"
"50842","TCERG1L",0.0225717300321998,0.0390341158008427,0.00202920298964673,"Ventricular_Cardiomyocytes",0.0225717300321998,"Positive"
"50843","SKAP1",0.0225206700924183,0.0231986352213678,0.000802777134547253,"Ventricular_Cardiomyocytes",0.0225206700924183,"Positive"
"50844","MYH13",0.02238919040923,0.00519226225114451,6.51067366914672e-05,"Ventricular_Cardiomyocytes",0.02238919040923,"Positive"
"50845","GABRG3",0.0222886338632372,0.000879770172480355,1.53216679289508e-06,"Ventricular_Cardiomyocytes",0.0222886338632372,"Positive"
"50846","TF",0.0222859424857047,0.00311079157107365,2.87133321607286e-05,"Ventricular_Cardiomyocytes",0.0222859424857047,"Positive"
"50847","VAV1",0.0222267667021799,0.0751111723184087,0.00628542638436005,"Ventricular_Cardiomyocytes",0.0222267667021799,"Positive"
"50848","CDHR3",0.0221477653528095,0.00630601222589389,8.67598338289128e-05,"Ventricular_Cardiomyocytes",0.0221477653528095,"Positive"
"50849","RHOB",0.022034070753667,0.0320723199005299,0.00141885355154783,"Ventricular_Cardiomyocytes",0.022034070753667,"Positive"
"50850","TMC2",0.0220270123542795,0.0273658746551645,0.00107299402649623,"Ventricular_Cardiomyocytes",0.0220270123542795,"Positive"
"50851","H1-10",0.0219912884013066,0.0609447732189987,0.004259165796452,"Ventricular_Cardiomyocytes",0.0219912884013066,"Positive"
"50853","APBA2",0.0214472995541083,0.00419572647647822,4.53039083144635e-05,"Ventricular_Cardiomyocytes",0.0214472995541083,"Positive"
"50855","USP9Y",0.0213961140518307,0.0996567935819727,0.0102746119471487,"Ventricular_Cardiomyocytes",0.0213961140518307,"Positive"
"50858","SHISA6",0.0212003255741405,0.00604063899168706,7.87242575518988e-05,"Ventricular_Cardiomyocytes",0.0212003255741405,"Positive"
"50859","CHRM3",0.0211306128838759,0.00113774415376594,3.46752397960709e-06,"Ventricular_Cardiomyocytes",0.0211306128838759,"Positive"
"50861","SLC14A2",0.0210380392854547,0.00255620304857864,1.93651746104442e-05,"Ventricular_Cardiomyocytes",0.0210380392854547,"Positive"
"50862","GRM7",0.0209196992231781,0.000974193311397813,1.93660157553471e-06,"Ventricular_Cardiomyocytes",0.0209196992231781,"Positive"
"50863","OTUD1",0.0208889536049267,0.0481984218755355,0.0028983938471543,"Ventricular_Cardiomyocytes",0.0208889536049267,"Positive"
"50864","SPOCK3",0.0208441805753196,0.0212300622344484,0.000695097823071454,"Ventricular_Cardiomyocytes",0.0208441805753196,"Positive"
"50865","GRIN2A",0.0207617369580831,0.00214935761879452,1.10865289432448e-05,"Ventricular_Cardiomyocytes",0.0207617369580831,"Positive"
"50866","OPRM1",0.0206889406071596,0.00151658999495446,5.41450625157897e-06,"Ventricular_Cardiomyocytes",0.0206889406071596,"Positive"
"50867","GRIK5",0.0206182721639307,0.00757810579216225,0.000116139552370303,"Ventricular_Cardiomyocytes",0.0206182721639307,"Positive"
"50868","CUX2",0.0206072588240314,0.00458946309971468,5.23528096536593e-05,"Ventricular_Cardiomyocytes",0.0206072588240314,"Positive"
"50870","PRKAG2",0.0205345788945254,0.00101098197403507,2.25288704722166e-06,"Ventricular_Cardiomyocytes",0.0205345788945254,"Positive"
"50871","ATF3",0.0204976973557018,0.0826349402246116,0.00738274544326467,"Ventricular_Cardiomyocytes",0.0204976973557018,"Positive"
"50872","CFAP47",0.0204371406804683,0.00282276885602432,2.4088414131869e-05,"Ventricular_Cardiomyocytes",0.0204371406804683,"Positive"
"50873","NOS1",0.0202885714478342,0.00836836588632317,0.000138902476556242,"Ventricular_Cardiomyocytes",0.0202885714478342,"Positive"
"50874","MRPS28",0.0202441209436876,0.00221944949642408,1.40828156838686e-05,"Ventricular_Cardiomyocytes",0.0202441209436876,"Positive"
"50875","SHANK2",0.0201949483172282,0.00113774415376594,3.45802880360134e-06,"Ventricular_Cardiomyocytes",0.0201949483172282,"Positive"
"50876","ENKUR",0.0201452312844728,0.0874951590957018,0.00820552824330118,"Ventricular_Cardiomyocytes",0.0201452312844728,"Positive"
"50877","TGFA",0.0200885800753003,0.0540815362180767,0.00351458838668088,"Ventricular_Cardiomyocytes",0.0200885800753003,"Positive"
"50879","RASGEF1B",0.0200256501774212,0.0132565736258028,0.000320917194587334,"Ventricular_Cardiomyocytes",0.0200256501774212,"Positive"
"50880","ACOXL",0.0199095135959078,0.0120355438697832,0.000268294952165143,"Ventricular_Cardiomyocytes",0.0199095135959078,"Positive"
"50881","RYR1",0.0198362195561606,0.0143810631604571,0.000375062240679786,"Ventricular_Cardiomyocytes",0.0198362195561606,"Positive"
